evidence_id,observation,conditions
EV-0001,"The French navigation lists nine standalone ovens: three Karu, five Koda and the Volt 2.",Inventory of the French collection on the check date
EV-0002,The Karu 2 Pro pack with gas burner is presented as a bundle rather than as a standalone model.,Inventory of the French collection on the check date
EV-0010,The Koda 2 is an outdoor propane oven stated to accommodate pizzas up to 35 cm.,French manufacturer specification
EV-0011,"The page displays 545 × 472 × 333 mm and 21.5 × 28.4 × 13.1 inches as unpacked dimensions, a weight of 16 kg and a 15 mm stone.",French manufacturer specification; dimensional equivalents retained as displayed
EV-0012,The manufacturer claims a maximum temperature of 500°C and a Neapolitan-style pizza in 60 seconds.,Manufacturer claim not independently replicated by Four à Nu
EV-0020,"The Koda 2 Pro is an outdoor propane oven stated to accommodate 45 cm pizzas, with a stone measuring 53 cm at the front and 46 cm at the rear.",French manufacturer specification
EV-0021,"The manufacturer displays 682 × 652 × 393 mm, a weight of 30 kg and a 20 mm stone for the Koda 2 Pro.",French manufacturer specification
EV-0022,"The manufacturer claims 500°C, a pizza in 60 seconds and includes the Ooni Connect hub with a food probe.",Manufacturer claim not independently replicated by Four à Nu
EV-0030,"The Koda 2 Max is presented as a 61 cm oven with a stated maximum pizza size of 50 cm, or two 30 cm pizzas at the same time.",French manufacturer specification; oven size distinguished from stated maximum diameter
EV-0031,"The manufacturer specifies two independent gas zones, a weight of 43 kg, two 20 mm stones and dimensions of 80 × 72.2 × 42.8 cm.",French manufacturer specification
EV-0032,"The manufacturer claims a range from 100 to 500°C, a ready-to-cook state in 30 minutes at 400°C and a pizza in 60 seconds.",Manufacturer claim not independently replicated by Four à Nu
EV-0040,"The Koda 12 is a gas oven stated to accommodate 30 cm pizzas, with a weight of 9.2 kg and a 10 mm stone.",French manufacturer specification
EV-0041,The manufacturer displays dimensions of 62 × 39 × 29 cm and specifies a 1/2-inch threaded connection compliant with the French NF regulator requirement.,French manufacturer specification
EV-0042,The manufacturer claims 500°C in 15 minutes and a 30 cm pizza in 60 seconds.,Manufacturer claim not independently replicated by Four à Nu
EV-0050,"The Koda 16 is a gas oven stated to accommodate 40 cm pizzas, fitted with an L-shaped burner and a 15 mm stone.",French manufacturer specification
EV-0051,The page displays a weight of 18.2 kg and two metric dimensions with the unit m in a table whose imperial values describe a domestic oven.,French manufacturer specification; unit retained as published
EV-0052,The manufacturer claims 500°C in 20 minutes and a pizza in 60 seconds.,Manufacturer claim not independently replicated by Four à Nu
EV-0060,The manufacturer page specifies that the Karu 12G is now called the Karu 2.,Naming history stated by the manufacturer
EV-0061,"The Karu 2 accepts wood and charcoal, or propane with a separate burner; it is stated to accommodate pizzas of 30 cm and over, weighs 15.3 kg and uses a 15 mm stone.",French manufacturer specification
EV-0062,"The manufacturer claims 450°C in 15 minutes, a maximum temperature of 500°C and a pizza in 60 seconds.",Manufacturer claim not independently replicated by Four à Nu
EV-0063,The metric dimensions table displays two distinct axes under the same width label.,French manufacturer specification; labels retained as displayed
EV-0070,"The Karu 2 Pro accepts wood and charcoal, or propane with a burner sold separately, and it is stated to accommodate pizzas up to 40 cm.",French manufacturer specification
EV-0071,"The manufacturer displays a 43 cm-wide cooking surface, a weight of 28.4 kg, a 15 mm stone and dimensions of 50 × 83 × 83 cm.",French manufacturer specification
EV-0072,The Karu 2 Pro includes a ClearView door and an Ooni Connect hub with a food probe.,French manufacturer specification
EV-0073,The manufacturer claims 500°C in 15 minutes and a wood-fired pizza in 60 seconds.,Manufacturer claim not independently replicated by Four à Nu
EV-0080,"The Karu 12 accepts wood and charcoal, or propane with a burner sold separately, and it is stated to accommodate 30 cm pizzas.",French manufacturer specification
EV-0081,"The manufacturer displays a weight of 12 kg, a 15 mm stone and dimensions of 80 × 40 × 77 cm.",French manufacturer specification
EV-0082,"The manufacturer claims 450°C in 15 minutes, a maximum temperature of 500°C and a pizza in 60 seconds.",Manufacturer claim not independently replicated by Four à Nu
EV-0090,"The Volt 2 is an indoor electric oven presented for 30 cm pizzas, while its FAQ mentions a 33 cm cooking surface.",French manufacturer specification; two usage dimensions retained separately
EV-0091,"The manufacturer displays a range from 20 to 450°C, a 220 to 240 V power supply and 1,600 W, a weight of 17.6 kg and a 10 mm stone.",French manufacturer specification
EV-0092,The manufacturer claims a ready-to-cook state in 12 minutes and a Neapolitan pizza in 90 seconds.,Manufacturer claim not independently replicated by Four à Nu
EV-0100,The imperial and metric dimensions displayed together on the Koda 2 page are not all equivalent; they must be checked again before comparison.,Internal consistency check with no silent correction
EV-0101,The metric unit m displayed for two Koda 16 dimensions is inconsistent with the context and must not be reproduced as metres.,Internal consistency check with no substitution by an assumed value
EV-0102,The Karu 2 dimensions table duplicates the width label for its third dimension; the exact orientation remains to be confirmed.,Internal consistency check with no silent correction
EV-0103,"The 30 cm presentation and the FAQ reference to a 33 cm surface probably describe two different concepts, but the page does not allow them to be standardised without clarification.",Internal consistency check with no silent correction
EV-0200,"The sequence moves from unboxing to ignition after the legs are unfolded, the stone is inserted and the propane is connected.",Setup sequence with no assembly timing
EV-0201,The low rear clearance makes it difficult to pass a brush through while the oven is hot.,Ergonomic observation from a single configuration
EV-0202,The third party records more than 800°F on the stone floor after 20 minutes and around 900°F after 30 minutes.,Rainy day at 56°F; infrared thermometer; stone-floor measurement; one session
EV-0203,A Neapolitan pizza is baked in around 60 seconds after a launch stated to be at around 800°F.,65% hydration poolish dough; maximum flame; video estimate; one repetition
EV-0204,"The third party launches New York-style pizzas with the stone floor stated to be at around 650°F, turns the flame off at launch, then raises it to medium.",62% hydration dough; three-day cold fermentation; 12-inch pizzas; spot measurement
EV-0210,"The third party measures 400°C at the centre of the stone floor after 25 minutes, then a plateau close to 450°C after 35 minutes.",Oven initially covered in snow; outdoor air 2°C; IR thermometer; centre measured at 15 minutes then every five minutes for one hour
EV-0211,"A 12-inch pizza is turned 90 degrees after around 30 seconds, then every 15 seconds, for a winter bake lasting close to two minutes.",235 g dough ball; cold conditions from the same session; visible timing; one detailed bake
EV-0212,The cylinder loses slightly more than 400 g after two hours at full power.,Cylinder weighed before and after; two hours; the creator describes the method as imprecise; one session
EV-0213,The stone floor returns to around 400°C in two minutes after removal of a plate that absorbed its heat for two minutes.,Initial stone floor at 400°C; Ooni plate placed for two minutes; IR measurement; one cycle
EV-0220,A single dial controls both burners simultaneously; one side cannot be adjusted or switched off separately.,Observation of the controls on a unit purchased by the creator
EV-0221,"The routine shown consists of preheating at full flame, then reducing to between three-quarters and full power before baking.",Stated usage routine after one year; preheating duration not retained as a measurement
EV-0222,"The creator checks the stone floor with a laser thermometer, targets 430°C at the centre and launches closer to the front when the rear exceeds 440°C.",Empirical target from one user; spot measurement; no quantified repetition
EV-0223,"At table height, the glass deflector reflects the surroundings and the creator has to crouch to see beneath the glass.",Ergonomic observation dependent on table height and lighting
EV-0230,The interior space and two independent burners allow separate baking on each side.,Functional observation; no uniformity measurement
EV-0231,A first Neapolitan pizza is baked in exactly 60 seconds after a launch at 910°F; the third party then considers that the stone floor would have benefited from a few more seconds.,Burner set to high; stated stone-floor temperature; one pizza; final visual assessment
EV-0232,Two pizzas are baked simultaneously in around 80 seconds and their results are described as similar on both sides.,Burners at medium to medium-high; one pair of pizzas; similarity assessed visually without an instrument
EV-0233,"A 20-inch New York-style pizza suffers a small tear during launch, then bakes first on a screen before being finished directly on the stone floor.",One bake; visible handling constraint
EV-0240,"The sequence shows installation of the chimney, stone, door and rear burner.",Assembly stated to take around ten minutes; complete timing not visible
EV-0241,The stone floor reaches 950°F during readings taken every five minutes.,Air 68°F; infrared thermometer; other ovens in the graph tested at 56°F and therefore not directly comparable
EV-0242,A pizza is baked for 75 seconds after a launch at 912°F; the underside finishes baking before the top.,Poolish dough; high flame; one pizza
EV-0243,A second trial is baked for 82 seconds after a launch at 865°F.,60% hydration dough; door closed during the first half then opened for turns; one pizza
EV-0244,A New York-style trial launched at 664°F is judged too hot; a second at 534°F bakes for four minutes with a low flame followed by a final increase.,Two pizzas; visual assessment of the first result; flame protocol changed between trials
EV-0250,Switching from gas to wood requires loosening two screws and exchanging the burner for the rear panel.,Demonstration on a test unit; gas burner sold separately
EV-0251,"The integrated thermometer does not directly measure the surface of the stone floor, and the creator also uses an infrared thermometer.",Observation of the device and the instrumentation used in the session
EV-0252,Full temperature takes around 30 to 40 minutes in this gas session.,Gas at full power; initial stone floor 44°F; integrated and IR thermometers; wood preheating not documented; one session
EV-0253,"The flame is reduced after launch and then raised again to colour the top, with several turns.",New York-style pizzas; 65% hydration dough; result not measured with instruments
EV-0260,"The sequence shows the Neapolitan, New York-style and pan-pizza presets, as well as a manual mode.",Three-month usage report with no pizza count or repeatable protocol
EV-0261,The window and lighting make it possible to follow the different areas of the pizza without regularly opening the door.,Ergonomic observation; no heat-loss test
EV-0262,The creator uses an IR thermometer to check the stone floor and shows bakes with little or no turning thanks to the upper and lower elements.,Qualitative report; no uniformity measurement; no usable T-MES in this video
EV-0270,The IR thermometer records 800°F on the stone floor after 30 minutes while the dial indicates less than 700°F; the measured positions range from 627 to 903°F.,IR thermometer; several positions; one session; integrated dial compared with the surface
EV-0271,Eight 12-inch pizzas are baked in around 90 seconds with four to five turns each.,64% hydration dough; 72 h cold fermentation followed by freezing; 280 g dough balls; medium flame
EV-0272,"The stone floor drops from at least 800°F before launch to around 725°F after baking, then returns above 800°F in under two minutes.",IR thermometer; series of eight pizzas; stated loss close to 75°F
EV-0273,"A first Detroit-style protocol burns the pizza, while a second trial, baked for five minutes on each side away from the burner, gives a visibly better result.",9 × 13-inch pan; stone floor 500°F; minimum flame; protocol changed after failure
EV-0274,A 16-inch pizza initially baked on a pan has an undercooked centre before being finished directly on the stone floor.,No suitable screen; one pizza; tool constraint conflated with oven performance
EV-0300,"The Koda 2 Max reaches a displayed 400°C after 23 min 40 s, then the display quickly rises to 413°C.",Different doughs between users; one bake per oven; ambient temperature not measured with instruments
EV-0301,"After 40 minutes, the wood-fired Karu 2 is measured at around 350°C with an infrared thermometer.",Different doughs between users; one bake per oven; fuel not weighed
EV-0302,The Koda 2 displays 261°C while the IR readings indicate around 450 to 470°C; the sequence then reveals that its probe was connected incorrectly.,Invalid measurement retained as a signal to check the connection; do not use as performance evidence
EV-0303,The pizza in the electric oven takes around five minutes; the participants judge the bake fairly even but note more browning on the mozzarella.,Volt version not specified; different dough and user; one bake
EV-0304,"The U-shaped burner heats from three sides and requires fewer turns, but several crust rims become too dark while the users are getting to grips with it.",Different doughs between users; one bake per oven; beginners with this model
EV-0310,"After 5 min 55 s, the stone floor is stated to be at around 310°C.",Cube propane cylinder; full power; IR thermometer; one session
EV-0311,The stone-floor reading passes 400°C after around twelve minutes.,Cube propane cylinder; full power; IR thermometer; one session
EV-0312,"After 16 min 54 s, the videographer records around 435°C, with another area around 400°C.",Cube propane cylinder; full power; IR thermometer; one session
EV-0313,The single rear burner requires the pizza to be turned more than an L-shaped or U-shaped burner.,Architectural observation and attributed assessment; one unit
EV-0314,The single pizza is turned by about a quarter every four seconds; the creator then notes that the flame licking the ceiling can brown the mozzarella quickly.,One pizza; dough formula and post-bake recovery not documented
EV-0320,"After at least 45 minutes, the stone exceeds 500°C.",Delay interrupted by a call; heating time unusable; IR thermometer
EV-0321,"The first pizza is launched at minimum flame, then the flame is raised to shorten the bake; the underside is judged properly baked.",One pizza; starting temperature higher than the intended use; attributed result
EV-0322,"Before the second pizza, two readings are stated as 500 and 515°C; the test begins at full power and the flame is then reduced.",Two spot readings with an IR thermometer; one pizza
EV-0323,"On a second windy day, three pizzas and a panuozzo are baked with visually consistent results, without timing or a complete temperature series.",Wind not quantified; several preparations; visual observation
EV-0330,"On a first very windy day, the oven struggles to heat up; one pizza develops its crust rim but remains undercooked underneath.",Strong wind not measured; first of two sessions
EV-0331,"On the second day, after around 25 minutes, the front display indicates 364°C while the stone floor is measured at 440°C on the left and 412°C on the right.",Day stated to be windless; front thermometer and IR thermometer; one session
EV-0332,"Before two simultaneous 12-inch pizzas, the display exceeds 400°C and the IR readings give around 430 and 440°C; the operation succeeds, but the videographer judges it difficult for a beginner.",One pair of pizzas; ambient temperature not measured with instruments; measurement and assessment attributed
EV-0333,The underside of the first pizza remains pale; the next two are better baked after more heat has accumulated.,Three pizzas; visual assessment; non-constant protocol
EV-0334,"For the panuozzo, the front display indicates 328°C versus around 410 and 430°C on the two stone-floor zones; the underside requires additional baking.",One preparation; divergence between displayed air temperature and stone floor
EV-0340,"Initially set to 270°C, the oven displays around 280°C after twenty minutes; the videographer records around 315°C on the stone floor and 300°C on the ceiling.",One session; IR thermometer; setting and measurement surfaces distinct
EV-0341,"A Margherita is launched in Neapolitan mode at around 430°C with a target of 1 min 30 s; the underside is judged baked, but the speed unsettles the creator.",T00 dough at 75% hydration prepared the day before; one bake
EV-0342,The Roman-style pizza baked at around 350 to 360°C with sourdough remains soft; the videographer considers that around thirty additional seconds would have been useful.,T80 sourdough; style and recipe different from the previous trial
EV-0343,"After the session, the creator personally settles on around 400°C for his Neapolitan dough and 370°C for his sourdough, noting that the setting depends on the dough.",Personal preference derived from different recipes; no standardised repetition
EV-0350,"The wall probe rises from 55°C to 100°C in four minutes, 200°C in 6 min 30 s, 300°C in under eight minutes and 400°C in 9 min 48 s.",Pellets; charcoal; slightly damp wood; wall probe rather than stone-floor probe; one initial session
EV-0351,The first three pizzas take around 90 seconds to two minutes; the author then considers that the stone floor would have benefited from being at around 430 to 450°C.,T45 dough; beginner videographer; stone-floor temperature not measured at that point
EV-0352,"Four days later, the oven reaches 474 then around 500 to 520°C; a 1 min 20 s bake darkens the crust rim too much, while the next is stopped at around 60 seconds.",Second session; solid fuel; two pizzas; uncalibrated instrumentation
EV-0353,"With gas, a naan is tried at around 270°C for three to four minutes, a brioche at around 160 to 180°C, then several pizzas at around 90 seconds.",Gas module; different recipes and temperatures; non-standardised series
EV-0354,The tester says he perceives no difference in taste between gas and solid fuels.,Tasting neither blind nor standardised; personal judgement
EV-0360,"The videographer fills the hopper, checks the chimney opening and states a wait of 15 to 20 minutes before baking.",Outdoor use; full hopper; pellets and natural firelighters; wind and ambient temperature not documented
EV-0361,"After around twenty minutes, the stated IR reading is close to 500°C; between the two pizzas, the creator states 473°C and adds more pellets.",Two readings; value close to 500°C transcribed imperfectly; only two pizzas
EV-0362,The first pizza is checked after around twenty seconds and then turned every 10 to 15 seconds; it is finished at around 1 min 50 s.,One pizza; one side left for around five seconds too long; video timing
EV-0363,The second pizza is handled more quickly and has a more even underside and an aerated crust rim.,Visual observation; no displayed timing; two pizzas in total
EV-0364,The creator stresses the need for frequent pellet refilling and the necessary turns.,Qualitative report from one session; pellet quantity not measured
EV-0370,"After three minutes, the stated central readings are around 155°C for the gas Koda and 93°C for the wood-fired Branner.",Same dough for both ovens; gas and wood starts; IR thermometer; one unit of each oven
EV-0371,"Later, both stone floors are stated to be at around 233 to 241°C; the presenters observe that the Branner catches up with the Koda after its slower start.",Same dough; exact comparison times not standardised; one session
EV-0372,"The two pizzas from the same batch have undersides and colouring judged to be similar; the Koda maintains a constant temperature more easily, while the Branner requires the small logs to be monitored.",One pizza per oven; T00 flour; 60% hydration; around 30 hours refrigerated
EV-0373,The tasters say they perceive no difference between wood and gas in these short bakes.,Tasting not documented as blind; one pizza per oven
EV-0374,"Around fifteen minutes after shutdown, the Koda stone floor is stated to be at 150°C and the Branner stone floor at 230°C.",Residual heat after shutdown; different architectures and fuels; one session
EV-0400,The Karu 12 appears best suited to a buyer who wants to cook with wood or charcoal in a compact format; its appeal diminishes if straightforward gas use is the main purpose.,"Usage inference based on the stated fuels, the 30 cm format and the weight of 12 kg; no third-party measurement is available."
EV-0401,The Karu 2 Pro is better suited to a fixed installation and regular use of fire than to storage after every bake.,"Usage inference based on the weight of 28.4 kg, the large format, the observed conversion and the absence of a shared protocol."
EV-0402,The Karu 2 is a sensible entry point for learning to manage wood or charcoal; the gas burner remains a fallback rather than its main reason for purchase.,"Usage inference based on the format, the stated fuels and the actions observed in non-comparable sessions."
EV-0403,The Koda 12 appears well suited to someone needing a compact gas oven; the corpus does not support recommending its performance or throughput.,"Usage inference based on the 30 cm format, the weight of 9.2 kg and the absence of third-party measurement."
EV-0404,"The Koda 16 offers useful handling room for large pizzas, but its weight and format favour a stable location.","Usage inference based on the stated diameter, the published weight and a non-standardised third-party comparison."
EV-0405,The relevance of the Koda 2 Max depends on frequent use of its two zones; its weight of 43 kg and the available sessions do not justify a general throughput gain.,"Usage inference based on the stated capacity, the weight and simultaneous bakes without a repeated series."
EV-0406,The Koda 2 Pro appears best suited to large pizzas and a fixed location; its size is difficult to justify for pizzas close to 30 cm.,"Usage inference based on the stated 45 cm diameter, the weight of 30 kg and the observed turns."
EV-0407,The Koda 2 offers the most balanced gas compromise in the current Ooni corpus for a household that wants more room than a 30 cm format without moving up to 30 kg.,"Usage inference based on the diameter, the weight, incompatible heating measurements and the observed turning actions."
EV-0408,The Volt 2 is the first model to examine when indoor baking is essential; the sources do not justify choosing it on a general promise of speed.,"Usage inference based on the stated indoor use, the observed controls and bakes with different settings."
EV-0409,"The permitted location and the actions a user accepts must come before the choice of model; the corpus does not support an overall performance ranking of gas, electricity and solid fuels.",Decision inference based on the stated uses and a limited third-party comparison between gas and wood.
EV-0410,"The range can usefully be narrowed by filtering first by location and energy source, then by diameter and weight, before examining throughput, which remains poorly measured.",Journey inference based on the French inventory and the published characteristics of the main formats.
EV-0500,"Gozney states an oven measuring 530 × 629 × 342 mm, a chamber of 427 × 517 × 173 mm, an opening of 427 × 95 mm and a weight of 26.5 kg.",French product page checked on 24 August 2026; stated packaged weight of 33 kg; removable 20 mm cordierite stone floor.
EV-0501,"The French page states propane fuel, pizzas up to 40 cm, a maximum temperature of 500°C, a cooking surface of 2,184 cm² and a price of €899.99.",Price and characteristics recorded on 24 August 2026; price and availability subject to change.
EV-0502,"Gozney restricts the Arc XL to outdoor use and states a standard one-year warranty, extended to five years if the product is registered within sixty days of purchase.",Warranty terms displayed on the French page on 24 August 2026; exact eligibility remains subject to Gozney's terms.
EV-0503,"The manual requires at least 30 cm of clearance behind and at the sides, and 100 cm in front, from combustible elements; it prohibits installation under or on a combustible structure.",European manual in German linked from the French page and checked on 24 August 2026; local installation constraints still apply.
EV-0504,The manual states that the digital display gives the temperature inside the oven and publishes recommended ranges by pizza style.,The version consulted does not describe precisely enough the relationship between this value and the different areas of the stone's upper surface.
EV-0505,The author reports a stone floor close to 400°C after 15 to 20 minutes of heating.,"One unit used for one month for 12- to 16-inch pizzas; measurement point, starting temperature, weather and flame setting not published."
EV-0506,"For 16-inch pizzas, the author reports close proximity to the flame and the need to turn early, with a risk of tearing a base that is still soft.",One unit used for one month; 12- to 16-inch pizzas; dough and turning protocol not published.
EV-0507,The author interprets the front display as a measurement of the air in the chamber and uses an infrared thermometer to check the stone floor.,Usage interpretation on one unit; no metrological protocol or exact sensor location published.
EV-0508,"The author reports that the stone floor is difficult to remove without the dedicated kit and describes removal by tilting the oven, which is safer with two people.",One operation described on one unit; removal kit not used; no documented repetition.
EV-0509,The article presents the display as a calibrated indicator of stone saturation and distinguishes its value from surface readings taken with an infrared thermometer.,Interpretation published from one Arc XL session; no independent metrological validation of the sensor.
EV-0510,"The weight, clearances and removal of the stone floor favour a lasting installation rather than storage after every bake.","Usage inference based on the manufacturer's dimensions, the safety instructions and a third-party maintenance observation."
EV-0511,The relevance of the XL format lies more in the turning room around a 30 to 35 cm pizza than in systematically using the maximum 40 cm diameter.,"Usage inference; the 40 cm capacity is stated by Gozney, but two third-party sessions report baking constraints at that diameter."
EV-0512,"Two publications place the approach to a stone floor close to 400°C between 15 and 30 minutes, without supporting an average or a universal promise.","Synthesis of two independent publishers; weather, starting temperature, measurement points and flame setting do not follow a shared protocol."
EV-0520,"The French page displays €399.99, a weight of 12 kg, external dimensions of 430 × 481 × 297 mm, a chamber of 325 × 355 × 150 mm and an opening of 325 × 85 mm.",Price and characteristics recorded on 24 August 2026; outdoor propane oven for 12-inch pizzas; removable 12 mm cordierite stone floor; price and availability subject to change.
EV-0521,"The French page displays €499.99, a weight of 13.5 kg, external dimensions of 418 × 484 × 320 mm, a chamber of 310 × 380 × 150 mm and an opening of 310 × 85 mm.",Price and characteristics recorded on 24 August 2026; outdoor propane oven for 12-inch pizzas; removable 12 mm cordierite stone floor; transport accessories sold separately; price and availability subject to change.
