evidence_id,observation,conditions
EV-0001,"Die französische Navigation führt neun eigenständige Öfen auf: drei Karu, fünf Koda und den Volt 2.",Bestandsaufnahme der französischen Kollektion am Prüftag
EV-0002,Das Karu 2 Pro-Paket mit Gasbrenner wird als Bundle und nicht als eigenständiges Modell präsentiert.,Bestandsaufnahme der französischen Kollektion am Prüftag
EV-0010,"Der Koda 2 ist ein Propangas-Außenofen, der für Pizzen bis zu 35 cm beworben wird.",Herstellerangabe für Frankreich
EV-0011,"Die Seite nennt 545 × 472 × 333 mm und 21,5 × 28,4 × 13,1 Zoll als Abmessungen im ausgepackten Zustand, ein Gewicht von 16 kg und einen 15 mm dicken Backstein.",Herstellerangabe für Frankreich; Maßentsprechungen wie angezeigt beibehalten
EV-0012,Der Hersteller verspricht eine Höchsttemperatur von 500 °C und eine Pizza neapolitanischer Art in 60 Sekunden.,"Herstellerversprechen, von Four à Nu nicht nachgeprüft"
EV-0020,"Der Koda 2 Pro ist ein Propangas-Außenofen, der für 45 cm große Pizzen beworben wird; sein Backstein misst vorne 53 cm und hinten 46 cm.",Herstellerangabe für Frankreich
EV-0021,"Der Hersteller nennt Abmessungen von 682 × 652 × 393 mm, ein Gewicht von 30 kg und einen 20 mm dicken Backstein für den Koda 2 Pro.",Herstellerangabe für Frankreich
EV-0022,"Der Hersteller verspricht 500 °C, eine Pizza in 60 Sekunden und liefert den Ooni Connect Hub mit Kerntemperaturfühler mit.","Herstellerversprechen, von Four à Nu nicht nachgeprüft"
EV-0030,Der Koda 2 Max wird als 61-cm-Ofen mit einer beworbenen maximalen Pizzagröße von 50 cm oder zwei gleichzeitig gebackenen Pizzen von je 30 cm präsentiert.,Herstellerangabe für Frankreich; Ofenformat und beworbener Höchstdurchmesser werden unterschieden
EV-0031,"Der Hersteller nennt zwei unabhängig regelbare Gaszonen, ein Gewicht von 43 kg, zwei 20 mm dicke Backsteine und Abmessungen von 80 × 72,2 × 42,8 cm.",Herstellerangabe für Frankreich
EV-0032,"Der Hersteller nennt einen Bereich von 100 bis 500 °C, Backbereitschaft nach 30 Minuten bei 400 °C und eine Pizza in 60 Sekunden.","Herstellerversprechen, von Four à Nu nicht nachgeprüft"
EV-0040,"Der Koda 12 ist ein Gasofen, der für 30 cm große Pizzen beworben wird, 9,2 kg wiegt und einen 10 mm dicken Backstein besitzt.",Herstellerangabe für Frankreich
EV-0041,"Der Hersteller nennt Abmessungen von 62 × 39 × 29 cm und einen 1/2-Zoll-Gewindeanschluss, der die Anforderungen des französischen NF-Reglers erfüllt.",Herstellerangabe für Frankreich
EV-0042,Der Hersteller verspricht 500 °C in 15 Minuten und eine 30-cm-Pizza in 60 Sekunden.,"Herstellerversprechen, von Four à Nu nicht nachgeprüft"
EV-0050,"Der Koda 16 ist ein Gasofen, der für 40 cm große Pizzen beworben wird und einen L-förmigen Brenner sowie einen 15 mm dicken Backstein besitzt.",Herstellerangabe für Frankreich
EV-0051,"Die Seite nennt ein Gewicht von 18,2 kg und zeigt in einer Tabelle zwei metrische Abmessungen mit der Einheit m, während die imperialen Werte einen Haushaltsbackofen beschreiben.",Herstellerangabe für Frankreich; Einheit wie veröffentlicht beibehalten
EV-0052,Der Hersteller verspricht 500 °C in 20 Minuten und eine Pizza in 60 Sekunden.,"Herstellerversprechen, von Four à Nu nicht nachgeprüft"
EV-0060,"Die Herstellerseite gibt an, dass der Karu 12G nun Karu 2 heißt.",Vom Hersteller angegebene Benennungshistorie
EV-0061,"Der Karu 2 kann mit Holz und Holzkohle oder mit einem separaten Propangasbrenner betrieben werden; er wird für Pizzen ab 30 cm beworben, wiegt 15,3 kg und besitzt einen 15 mm dicken Backstein.",Herstellerangabe für Frankreich
EV-0062,"Der Hersteller verspricht 450 °C in 15 Minuten, eine Höchsttemperatur von 500 °C und eine Pizza in 60 Sekunden.","Herstellerversprechen, von Four à Nu nicht nachgeprüft"
EV-0063,Die Tabelle mit metrischen Abmessungen führt zwei verschiedene Achsen unter derselben Bezeichnung „Breite“ auf.,Herstellerangabe für Frankreich; Bezeichnungen wie angezeigt beibehalten
EV-0070,Der Karu 2 Pro kann mit Holz und Holzkohle oder mit einem separat erhältlichen Propangasbrenner betrieben werden und wird für Pizzen bis zu 40 cm beworben.,Herstellerangabe für Frankreich
EV-0071,"Der Hersteller nennt eine 43 cm breite Backfläche, ein Gewicht von 28,4 kg, einen 15 mm dicken Backstein und Abmessungen von 50 × 83 × 83 cm.",Herstellerangabe für Frankreich
EV-0072,Der Karu 2 Pro besitzt eine ClearView-Tür und einen Ooni Connect Hub mit Kerntemperaturfühler.,Herstellerangabe für Frankreich
EV-0073,Der Hersteller verspricht 500 °C in 15 Minuten und eine Holzofenpizza in 60 Sekunden.,"Herstellerversprechen, von Four à Nu nicht nachgeprüft"
EV-0080,Der Karu 12 kann mit Holz und Holzkohle oder mit einem separat erhältlichen Propangasbrenner betrieben werden und wird für 30 cm große Pizzen beworben.,Herstellerangabe für Frankreich
EV-0081,"Der Hersteller nennt ein Gewicht von 12 kg, einen 15 mm dicken Backstein und Abmessungen von 80 × 40 × 77 cm.",Herstellerangabe für Frankreich
EV-0082,"Der Hersteller verspricht 450 °C in 15 Minuten, eine Höchsttemperatur von 500 °C und eine Pizza in 60 Sekunden.","Herstellerversprechen, von Four à Nu nicht nachgeprüft"
EV-0090,"Der Volt 2 ist ein Elektro-Innenofen, der für 30 cm große Pizzen präsentiert wird, während seine FAQ eine 33 cm große Backfläche erwähnt.",Herstellerangabe für Frankreich; zwei Nutzmaße getrennt beibehalten
