asset_id,evidence_ids,source_url,timecode,acquisition_mode,asset_type,rights_holder_label,rights_status,commercial_use,editorial_transform,web_scope,social_scope,territory,valid_from,valid_until,attribution,identifiable_people,people_clearance,third_party_elements,production_method,source_reuse_policy,production_notes,raw_sha256,derived_sha256,human_validation,permission_proof,permission_proof_sha256,publication_url,checked_on
AS-0200,EV-0200;EV-0201;EV-0202;EV-0203;EV-0204,https://www.youtube.com/watch?v=wPschLywLbI,00:28,youtube-embed,embed,Pala Pizza,service-permitted,not-applicable,not-applicable,,,,,,Pala Pizza,,,,,,,,,not-applicable,,,,2026-08-23
AS-0210,EV-0210;EV-0211;EV-0212;EV-0213,https://www.youtube.com/watch?v=BvUVIWEBmVk,03:15,youtube-embed,embed,The Technology Man,service-permitted,not-applicable,not-applicable,,,,,,The Technology Man,,,,,,,,,not-applicable,,,,2026-08-23
AS-0220,EV-0220;EV-0221;EV-0222;EV-0223,https://www.youtube.com/watch?v=ZWr5-H1AQIs,01:06,youtube-embed,embed,Got2EatPizza,service-permitted,not-applicable,not-applicable,,,,,,Got2EatPizza,,,,,,,,,not-applicable,,,,2026-08-23
AS-0230,EV-0230;EV-0231;EV-0232;EV-0233,https://www.youtube.com/watch?v=1Kl3E8cYp64,01:23,youtube-embed,embed,Pala Pizza,service-permitted,not-applicable,not-applicable,,,,,,Pala Pizza,,,,,,,,,not-applicable,,,,2026-08-23
AS-0240,EV-0240;EV-0241;EV-0242;EV-0243;EV-0244,https://www.youtube.com/watch?v=kkpPK3gsqko,00:19,youtube-embed,embed,Pala Pizza,service-permitted,not-applicable,not-applicable,,,,,,Pala Pizza,,,,,,,,,not-applicable,,,,2026-08-23
AS-0250,EV-0250;EV-0251;EV-0252;EV-0253,https://www.youtube.com/watch?v=fxkTzr8GYwE,00:19,youtube-embed,embed,Pala Pizza,service-permitted,not-applicable,not-applicable,,,,,,Pala Pizza,,,,,,,,,not-applicable,,,,2026-08-23
AS-0260,EV-0260;EV-0261;EV-0262,https://www.youtube.com/watch?v=IyRNCq67iTA,02:54,youtube-embed,embed,Got2EatPizza,service-permitted,not-applicable,not-applicable,,,,,,Got2EatPizza,,,,,,,,,not-applicable,,,,2026-08-23
AS-0270,EV-0270;EV-0271;EV-0272;EV-0273;EV-0274,https://www.youtube.com/watch?v=JyGiNXvDxZY,03:43,youtube-embed,embed,The Barbecue Lab,service-permitted,not-applicable,not-applicable,,,,,,The Barbecue Lab,,,,,,,,,not-applicable,,,,2026-08-23
AS-0300,EV-0300;EV-0301;EV-0302;EV-0303;EV-0304,https://www.youtube.com/watch?v=yBCZ_Mxh3FI,10:46,youtube-embed,embed,Julien Serri,service-permitted,not-applicable,not-applicable,,,,,,Julien Serri,,,,,,,,,not-applicable,,,,2026-08-23
AS-0310,EV-0310;EV-0311;EV-0312;EV-0313;EV-0314,https://www.youtube.com/watch?v=o3RYV6eoGFU,06:03,youtube-embed,embed,Julien Serri,service-permitted,not-applicable,not-applicable,,,,,,Julien Serri,,,,,,,,,not-applicable,,,,2026-08-23
